Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2010-2020
United Arab Emirates,ARE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3.62E+11,3.30E+11,3.32E+11,3.58E+11,3.85E+11,3.84E+11,..,..
Turkey,TUR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,7.93E+11,7.27E+11,7.29E+11,7.17E+11,6.57E+11,6.33E+11,..,..
Norway,NOR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4.01E+11,3.17E+11,3.07E+11,3.26E+11,3.50E+11,3.25E+11,..,..
Greece,GRC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.96E+11,1.62E+11,1.60E+11,1.67E+11,1.76E+11,1.73E+11,..,..
India,IND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.77E+12,1.84E+12,1.99E+12,2.32E+12,2.37E+12,2.49E+12,..,..
Singapore,SGP,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.60E+11,2.40E+11,2.50E+11,2.64E+11,2.79E+11,2.76E+11,..,..
Vietnam,VNM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.47E+11,1.55E+11,1.67E+11,1.76E+11,1.94E+11,2.09E+11,..,..
China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8.46E+12,8.95E+12,9.19E+12,1.02E+13,1.14E+13,1.17E+13,..,..
Nigeria,NGA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4.36E+11,4.02E+11,3.37E+11,3.05E+11,3.11E+11,3.58E+11,..,..
South Africa,ZAF,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.86E+11,2.62E+11,2.42E+11,2.86E+11,2.99E+11,2.85E+11,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.65E+11,2.97E+11,3.01E+11,2.08E+11,2.16E+11,2.63E+11,..,..
Australia,AUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.14E+12,1.06E+12,9.47E+11,1.03E+12,1.11E+12,1.07E+12,..,..
Israel,ISR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.67E+11,2.58E+11,2.74E+11,3.05E+11,3.20E+11,3.41E+11,..,..
Country List,(Country List),Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,..,..,..
Brazil,BRA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-0.992989746,-3.754888157,-3.915045456,0.080383411,-2.048760984,0.431183891,..,..
Argentina,ARG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-4.501896117,3.924541342,-2.815488968,4.58219842,-7.889687014,-5.640931522,..,..
Colombia,COL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.453265013,2.924692022,1.066514404,-0.360543355,0.299184804,1.539260552,..,..
United States,USA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.728558251,2.864357754,0.173821419,1.457314568,1.962241186,1.919555959,..,..
United Kingdom,GBR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.383820077,2.184139702,0.940904102,1.781993996,0.514588982,..,..,..
United Arab Emirates,ARE,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,5.487919679,-9.146093265,0.175592688,6.727179238,-3.072533368,-0.246611911,..,..
Turkey,TUR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..
Norway,NOR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.108743689,-1.610160865,-2.040558564,1.488684701,1.731062989,-2.670810092,..,..
Greece,GRC,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.649488782,1.693595273,0.168393793,2.113648358,0.246454959,2.927930643,..,..
India,IND,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,5.770866719,7.624797463,6.355805757,7.257913021,5.401280179,2.266045681,..,..
Singapore,SGP,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..
Vietnam,VNM,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,6.812579155,6.575997523,9.122529658,4.067245027,7.579807259,6.04294109,..,..
China,CHN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,8.165475671,7.33192088,7.91786007,7.275884769,4.709229241,4.709598133,..,..
Nigeria,NGA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.532266498,-5.168346731,-9.824919346,-4.55227965,-0.940113918,-2.950898725,..,..
South Africa,ZAF,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.65792852,1.453137784,-1.746294567,1.200391908,-1.708181826,-0.896010452,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.574155267,5.964545271,2.257445132,-3.410605844,2.027862068,2.990966776,..,..
Australia,AUS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..
Israel,ISR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.32915262,2.673615253,3.289487656,2.175902082,1.292659252,2.906811753,..,..
Country List,(Country List),Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..
Brazil,BRA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,8137.266385,7831.53981,7522.652253,7531.041579,7376.672941,7408.585675,..,..
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11236.31487,11677.28869,11348.51592,11868.52744,11491.37132,10742.25073,..,..
Colombia,COL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5030.228342,5177.347028,5232.56418,5213.698518,5229.297112,5309.789619,..,..
United States,USA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,47848.96239,49219.52785,49305.08193,50023.61207,51005.19599,51984.26927,..,..
United Kingdom,GBR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36598.58018,37434.61513,37708.72355,38330.54568,38475.66947,..,..,..
United Arab Emirates,ARE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,39217.08268,35646.09956,35746.58036,38151.31689,36979.10495,38916.35891,..,..
Turkey,TUR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,8847.375665,9257.879572,9462.797952,9787.179398,10036.76044,9893.740813,..,..
Norway,NOR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,62171.77246,61170.70691,59922.48281,60814.53965,61867.27763,60214.92014,..,..
Greece,GRC,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,14741.05589,14990.19059,15015.24437,15317.55365,15345.39572,15805.07646,..,..
India,IND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1305.896863,1405.468713,1494.797663,1603.288801,1689.886872,1728.180442,..,..
Singapore,SGP,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,43447.10009,..,..,..,..,..,..
Vietnam,VNM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1566.824682,1669.859034,1822.19242,1896.305451,2040.041749,2163.32027,..,..
China,CHN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,6075.558538,6525.796604,7044.723885,7560.776381,7917.762727,8290.446109,..,..
Nigeria,NGA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2342.762088,2221.68002,2003.40175,1912.2013,1894.224429,1838.327785,..,..
South Africa,ZAF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4641.110277,4732.894485,4649.518309,4705.360279,4644.421774,4597.557213,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3036.924513,3218.063251,3290.709263,3178.476141,3242.931253,3339.926249,..,..
Australia,AUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,44352.13785,..,..,..,..,..,..
Israel,ISR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,29970.74913,30772.05165,31784.29449,32475.88962,32895.69221,33851.90806,..,..
Country List,(Country List),Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10674.81531,7831.53981,7743.61781,8818.872255,7850.803551,7628.82845,..,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10212.7923,11677.28869,10803.64227,12497.73051,9676.811107,8160.572029,..,..
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6508.656398,5177.347028,4967.750722,5308.529444,5501.390053,5246.157424,..,..
United States,USA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,47701.37423,49219.52785,49653.91027,51313.85553,53540.3508,55419.38641,..,..
United Kingdom,GBR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39485.53991,37434.61513,34036.57679,33744.73529,35834.96527,..,..,..
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39308.2921,35646.09956,35478.30805,37734.43416,40019.94277,39305.77963,..,..
Turkey,TUR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10263.85378,9257.879572,9130.559117,8834.098645,7982.413077,7585.040685,..,..
Norway,NOR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,78000.3997,61170.70691,58625.41291,61785.55809,65957.40892,60776.13037,..,..
Greece,GRC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,17960.71595,14990.19059,14825.58354,15517.52464,16411.64604,16096.92647,..,..
India,IND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1368.602011,1405.468713,1505.794594,1734.583423,1752.686328,1821.960921,..,..
Singapore,SGP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,47477.78921,43447.10009,44578.57833,47060.85503,49451.0366,48343.59725,..,..
Vietnam,VNM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1597.534387,1669.859034,1785.475393,1864.326778,2033.246114,2162.500744,..,..
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6170.341266,6484.935298,6618.748394,7304.710532,8119.085892,8333.876842,..,..
Nigeria,NGA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2472.051868,2221.68002,1814.332053,1596.352376,1586.547504,1779.188548,..,..
South Africa,ZAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5236.334333,4732.894485,4296.693424,5012.692856,5182.176334,4862.222806,..,..
"Egypt, Arab Rep.",EGY,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2931.183884,3218.063251,3183.344391,2152.245997,2197.434538,2615.172607,..,..
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,48738.74797,44352.13785,39137.30036,42036.79642,44300.56228,42151.08638,..,..
Israel,ISR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,32491.88684,30772.05165,32042.80301,34994.60994,36077.16351,37638.05315,..,..
Country List,(Country List),Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,62.0762,61.0878,60.0994,59.111,57.8858,56.6606,..,..
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.253,63.096,62.939,62.782,62.5654,62.3488,..,..
Colombia,COL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.6512,69.3178,67.9844,66.651,65.482,64.313,..,..
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,24.7062,23.0908,21.4754,19.86,18.5562,17.2524,..,..
United Kingdom,GBR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.4354,15.4136,14.3918,13.37,12.641,11.912,..,..
United Arab Emirates,ARE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,12.6804,10.6356,8.5908,6.546,5.8868,5.2276,..,..
Turkey,TUR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,29.3694,28.4326,27.4958,26.559,25.5558,24.5526,..,..
Norway,NOR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,5.6798,5.5002,5.3206,5.141,5.1048,5.0686,..,..
Greece,GRC,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,8.0126,7.7494,7.4862,7.223,6.9376,6.6522,..,..
India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,22.102,19.127,16.152,13.177,12.0708,10.9646,..,..
Singapore,SGP,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,3.7574,3.6816,3.6058,3.53,3.5134,3.4968,..,..
Vietnam,VNM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,34.0082,32.9818,31.9554,30.929,29.1518,27.3746,..,..
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,7.4802,7.5318,7.5834,7.635,7.643,7.651,..,..
Nigeria,NGA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,113.162,111.218,109.274,107.33,105.447,103.564,..,..
South Africa,ZAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.3488,69.5352,68.7216,67.908,67.8488,67.7896,..,..
"Egypt, Arab Rep.",EGY,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,54.983,54.595,54.207,53.819,53.086,52.353,..,..
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,..,..
Israel,ISR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,10.7686,10.3814,9.9942,9.607,9.192,8.777,..,..
Brazil,BRA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,4.289999962,4.199999809,3.529999971,3.619999886,3.440000057,3.289999962,..,..
Argentina,ARG,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.949999988,0.959999979,0.970000029,0.980000019,0.790000021,0.819999993,..,..
Colombia,COL,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,6.639999866,6.369999886,5.71999979,5.920000076,5.71999979,5.349999905,..,..
United States,USA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.079999998,0.090000004,0.079999998,0.07,0.079999998,0.07,..,..
United Kingdom,GBR,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.430000007,0.379999995,0.419999987,0.430000007,0.419999987,0.419999987,..,..
United Arab Emirates,ARE,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.02,0.02,0.02,0.159999996,1.610000014,3.720000029,..,..
Turkey,TUR,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,29.04000092,27.79999924,26.03000069,25.54999924,23.46999931,22.82999992,..,..
Norway,NOR,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.180000007,0.180000007,0.189999998,0.100000001,0.150000006,0.150000006,..,..
Greece,GRC,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,7.099999905,6.320000172,5.789999962,5.980000019,5.550000191,4.849999905,..,..
India,IND,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,31.15999985,30.82999992,30.53000069,30.38999939,30.20999908,28.93000031,..,..
Singapore,SGP,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.870000005,0.50999999,0.74000001,0.720000029,0.469999999,0.579999983,..,..
Vietnam,VNM,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,26.62999916,23.37000084,22.14999962,21.47999954,20.43000031,19.07999992,..,..
China,CHN,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,19.54000092,18.87999916,18.26000023,17.62000084,16.94000053,16.17000008,..,..
Nigeria,NGA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,11.22999954,11.84000015,11.68999958,9.640000343,8.029999733,7.050000191,..,..
South Africa,ZAF,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.829999983,0.819999993,0.730000019,0.74000001,0.800000012,0.889999986,..,..
"Egypt, Arab Rep.",EGY,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,36.66999817,40.18999863,23.31999969,26.43000031,22.39999962,19.73999977,..,..
Australia,AUS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.270000011,0.270000011,0.25999999,0.230000004,0.230000004,0.200000003,..,..
Israel,ISR,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.189999998,0.170000002,0.150000006,0.119999997,0.059999999,0.050000001,..,..
Country List,(Country List),"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,..,..,..,..,..,..,..,..
Brazil,BRA,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,1.649999976,1.659999967,1.399999976,1.470000029,1.5,1.450000048,..,..
Argentina,ARG,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.319999993,0.319999993,0.319999993,0.310000002,0.370000005,0.370000005,..,..
Colombia,COL,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,2.529999971,2.339999914,2.210000038,2.019999981,1.980000019,1.919999957,..,..
United States,USA,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.039999999,0.050000001,0.039999999,0.039999999,0.050000001,0.039999999,..,..
United Kingdom,GBR,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.330000013,0.280000001,0.330000013,0.310000002,0.300000012,0.360000014,..,..
United Arab Emirates,ARE,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.01,0.01,0.01,0.039999999,0.239999995,0.25,..,..
Turkey,TUR,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,4.78000021,4.449999809,4.489999771,4.440000057,4.360000134,4.409999847,..,..
Norway,NOR,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.150000006,0.200000003,0.170000002,0.079999998,0.090000004,0.100000001,..,..
Greece,GRC,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,3,2.980000019,2.569999933,2.470000029,2.349999905,1.950000048,..,..
India,IND,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,9.789999962,9.390000343,8.930000305,8.43999958,7.940000057,7.400000095,..,..
Singapore,SGP,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.310000002,0.289999992,0.340000004,0.289999992,0.280000001,0.289999992,..,..
